8287,USP9Y,ubiquitin specific peptidase 9, Y-linked,Yq11.221,Validated
578,BAK1,BCL2 antagonist/killer 1,6p21.31,Validated
596,BCL2,BCL2, apoptosis regulator,18q21.33,Validated
599,BCL2L2,BCL2 like 2,14q11.2,Validated
7422,VEGFA,vascular endothelial growth factor A,6p21.1,Validated
3606,IL18,interleukin 18,11q23.1,Validated
7040,TGFB1,transforming growth factor beta 1,19q13.2,Validated
3383,ICAM1,intercellular adhesion molecule 1,19p13.2,Validated
3557,IL1RN,interleukin 1 receptor antagonist,2q14.1,Validated
834,CASP1,caspase 1,11q22.3,Validated
4254,KITLG,KIT ligand,12q21.32,Validated
3592,IL12A,interleukin 12A,3q25.33,Validated
3976,LIF,LIF, interleukin 6 family cytokine,22q12.2,Validated
3589,IL11,interleukin 11,19q13.42,Validated
3570,IL6R,interleukin 6 receptor,1q21.3,Validated
3572,IL6ST,interleukin 6 signal transducer,5q11.2,Validated
355,FAS,Fas cell surface death receptor,10q23.31,Validated
1636,ACE,angiotensin I converting enzyme,17q23.3,Validated
2099,ESR1,estrogen receptor 1,6q25.1-q25.2,Validated
2100,ESR2,estrogen receptor 2,14q23.2-q23.3,Validated
367,AR,androgen receptor,Xq12,Validated
4625,MYH7,myosin heavy chain 7,14q11.2,Validated
196,AHR,aryl hydrocarbon receptor,7p21.1,Validated
3292,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,17q21.2,Validated
6462,SHBG,sex hormone binding globulin,17p13.1,Validated
1543,CYP1A1,cytochrome P450 family 1 subfamily A member 1,15q24.1,Validated
6716,SRD5A2,steroid 5 alpha-reductase 2,2p23.1,Validated
467,ATF3,activating transcription factor 3,1q32.3,Validated
3295,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,5q23.1,Validated
146225,CMTM2,CKLF like MARVEL transmembrane domain containing 2,16q21,Validated
2492,FSHR,follicle stimulating hormone receptor,2p16.3,Validated
1588,CYP19A1,cytochrome P450 family 19 subfamily A member 1,15q21.2,Validated
8204,NRIP1,nuclear receptor interacting protein 1,21q11.2-q21.1,Validated
5241,PGR,progesterone receptor,11q22.1,Validated
6046,BRD2,bromodomain containing 2,6p21.32,Validated
3730,ANOS1,anosmin 1,Xp22.31,Validated
2332,FMR1,fragile X mental retardation 1,Xq27.3,Validated
29947,DNMT3L,DNA methyltransferase 3 like,21q22.3,Validated
1081,CGA,glycoprotein hormones, alpha polypeptide,6q14.3,Validated
3123,HLA-DRB1,major histocompatibility complex, class II, DR beta 1,6p21.32,Validated
3115,HLA-DPB1,major histocompatibility complex, class II, DP beta 1,6p21.32,Validated
3565,IL4,interleukin 4,5q31.1,Validated
672,BRCA1,BRCA1, DNA repair associated,17q21.31,Validated
6663,SOX10,SRY-box 10,22q13.1,Validated
133,ADM,adrenomedullin,11p15.4,Validated
3091,HIF1A,hypoxia inducible factor 1 alpha subunit,14q23.2,Validated
5743,PTGS2,prostaglandin-endoperoxide synthase 2,1q31.1,Validated
57447,NDRG2,NDRG family member 2,14q11.2,Validated
5742,PTGS1,prostaglandin-endoperoxide synthase 1,9q33.2,Validated
117144,CATSPER1,cation channel sperm associated 1,11q13.1,Validated
2494,NR5A2,nuclear receptor subfamily 5 group A member 2,1q32.1,Validated
6662,SOX9,SRY-box 9,17q24.3,Validated
268,AMH,anti-Mullerian hormone,19p13.3,Validated
5351,PLOD1,procollagen-lysine,2-oxoglutarate 5-dioxygenase 1,1p36.22,Validated
63943,FKBPL,FK506 binding protein like,6p21.32,Validated
2288,FKBP4,FK506 binding protein 4,12p13.33,Validated
3324,HSP90AA2P,heat shock protein 90 alpha family class A member 2, pseudogene,11p14.1,Validated
7490,WT1,Wilms tumor 1,11p13,Validated
960,CD44,CD44 molecule (Indian blood group),11p13,Validated
4318,MMP9,matrix metallopeptidase 9,20q13.12,Validated
4313,MMP2,matrix metallopeptidase 2,16q12.2,Validated
4846,NOS3,nitric oxide synthase 3,7q36.1,Validated
6647,SOD1,superoxide dismutase 1,21q22.11,Validated
115677,NOSTRIN,nitric oxide synthase trafficking,2q24.3,Validated
4232,MEST,mesoderm specific transcript,7q32.2,Validated
2778,GNAS,GNAS complex locus,20q13.32,Validated
26240,FAM50B,family with sequence similarity 50 member B,6p25.2,Validated
1591,CYP24A1,cytochrome P450 family 24 subfamily A member 1,20q13.2,Validated
7421,VDR,vitamin D receptor,12q13.11,Validated
627,BDNF,brain derived neurotrophic factor,11p14.1,Validated
83983,TSSK6,testis specific serine kinase 6,19p13.11,Validated
283629,TSSK4,testis specific serine kinase 4,14q12,Validated
269,AMHR2,anti-Mullerian hormone receptor type 2,12q13.13,Validated
3624,INHBA,inhibin beta A subunit,7p14.1,Validated
3483,IGFALS,insulin like growth factor binding protein acid labile subunit,16p13.3,Validated
3981,LIG4,DNA ligase 4,13q33.3,Validated
5896,RAG1,recombination activating 1,11p12,Validated
675,BRCA2,BRCA2, DNA repair associated,13q13.1,Validated
7076,TIMP1,TIMP metallopeptidase inhibitor 1,Xp11.3,Validated
2159,F10,coagulation factor X,13q34,Validated
462,SERPINC1,serpin family C member 1,1q25.1,Validated
5619,PRM1,protamine 1,16p13.13,Validated
5620,PRM2,protamine 2,16p13.13,Validated
4193,MDM2,MDM2 proto-oncogene,12q15,Validated
3133,HLA-E,major histocompatibility complex, class I, E,6p22.1,Validated
3105,HLA-A,major histocompatibility complex, class I, A,6p22.1,Validated
3106,HLA-B,major histocompatibility complex, class I, B,6p21.33,Validated
4838,NODAL,nodal growth differentiation factor,10q22.1,Validated
3119,HLA-DQB1,major histocompatibility complex, class II, DQ beta 1,6p21.32,Validated
5444,PON1,paraoxonase 1,7q21.3,Validated
6648,SOD2,superoxide dismutase 2,6q25.3,Validated
2944,GSTM1,glutathione S-transferase mu 1,1p13.3,Validated
10519,CIB1,calcium and integrin binding 1,15q26.1,Validated
332,BIRC5,baculoviral IAP repeat containing 5,17q25.3,Validated
7015,TERT,telomerase reverse transcriptase,5p15.33,Validated
207,AKT1,AKT serine/threonine kinase 1,14q32.33,Validated
2932,GSK3B,glycogen synthase kinase 3 beta,3q13.33,Validated
5594,MAPK1,mitogen-activated protein kinase 1,22q11.22,Validated
5595,MAPK3,mitogen-activated protein kinase 3,16p11.2,Validated
6772,STAT1,signal transducer and activator of transcription 1,2q32.2,Validated
23545,ATP6V0A2,ATPase H+ transporting V0 subunit a2,12q24.31,Validated
5243,ABCB1,ATP binding cassette subfamily B member 1,7q21.12,Validated
2064,ERBB2,erb-b2 receptor tyrosine kinase 2,17q12,Validated
3293,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,9q22.32,Validated
51738,GHRL,ghrelin and obestatin prepropeptide,3p25.3,Validated
3162,HMOX1,heme oxygenase 1,22q12.3,Validated
1080,CFTR,cystic fibrosis transmembrane conductance regulator,7q31.2,Validated
80025,PANK2,pantothenate kinase 2,20p13,Validated
7450,VWF,von Willebrand factor,12p13.31,Validated
7320,UBE2B,ubiquitin conjugating enzyme E2 B,5q31.1,Validated
6736,SRY,sex determining region Y,Yp11.2,Validated
6667,SP1,Sp1 transcription factor,12q13.13,Validated
7980,TFPI2,tissue factor pathway inhibitor 2,7q21.3,Validated
2621,GAS6,growth arrest specific 6,13q34,Validated
558,AXL,AXL receptor tyrosine kinase,19q13.2,Validated
9915,ARNT2,aryl hydrocarbon receptor nuclear translocator 2,15q25.1,Validated
1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2,15q24.1,Validated
1586,CYP17A1,cytochrome P450 family 17 subfamily A member 1,10q24.32,Validated
8856,NR1I2,nuclear receptor subfamily 1 group I member 2,3q13.33,Validated
338,APOB,apolipoprotein B,2p24.1,Validated
100132285,KIR2DS2,killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2,19q13.4,Validated
3803,KIR2DL2,killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2,19q13.4,Validated
6283,S100A12,S100 calcium binding protein A12,1q21.3,Validated
4780,NFE2L2,nuclear factor, erythroid 2 like 2,2q31.2,Validated
6927,HNF1A,HNF1 homeobox A,12q24.31,Validated
6928,HNF1B,HNF1 homeobox B,17q12,Validated
190,NR0B1,nuclear receptor subfamily 0 group B member 1,Xp21.2,Validated
632,BGLAP,bone gamma-carboxyglutamate protein,1q22,Validated
2321,FLT1,fms related tyrosine kinase 1,13q12.3,Validated
3791,KDR,kinase insert domain receptor,4q12,Validated
2068,ERCC2,ERCC excision repair 2, TFIIH core complex helicase subunit,19q13.32,Validated
7507,XPA,XPA, DNA damage recognition and repair factor,9q22.33,Validated
2067,ERCC1,ERCC excision repair 1, endonuclease non-catalytic subunit,19q13.32,Validated
7515,XRCC1,X-ray repair cross complementing 1,19q13.31,Validated
10,NAT2,N-acetyltransferase 2,8p22,Validated
1555,CYP2B6,cytochrome P450 family 2 subfamily B member 6,19q13.2,Validated
841,CASP8,caspase 8,2q33.1,Validated
842,CASP9,caspase 9,1p36.21,Validated
356,FASLG,Fas ligand,1q24.3,Validated
836,CASP3,caspase 3,4q35.1,Validated
406991,MIR21,microRNA 21,17q23.1,Validated
407004,MIR22,microRNA 22,17p13.3,Validated
3308,HSPA4,heat shock protein family A (Hsp70) member 4,5q31.1,Validated
3320,HSP90AA1,heat shock protein 90 alpha family class A member 1,14q32.31,Validated
3297,HSF1,heat shock transcription factor 1,8q24.3,Validated
3298,HSF2,heat shock transcription factor 2,6q22.31,Validated
6658,SOX3,SRY-box 3,Xq27.1,Validated
6775,STAT4,signal transducer and activator of transcription 4,2q32.2-q32.3,Validated
3439,IFNA1,interferon alpha 1,9p21.3,Validated
7297,TYK2,tyrosine kinase 2,19p13.2,Validated
4968,OGG1,8-oxoguanine DNA glycosylase,3p25.3,Validated
8788,DLK1,delta like non-canonical Notch ligand 1,14q32.2,Validated
2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,7q36.1,Validated
4152,MBD1,methyl-CpG binding domain protein 1,18q21.1,Validated
8932,MBD2,methyl-CpG binding domain protein 2,18q21.2,Validated
85509,MBD3L1,methyl-CpG binding domain protein 3 like 1,19p13.2,Validated
676,BRDT,bromodomain testis associated,1p22.1,Validated
1869,E2F1,E2F transcription factor 1,20q11.22,Validated
472,ATM,ATM serine/threonine kinase,11q22.3,Validated
55717,WDR11,WD repeat domain 11,10q26.12,Validated
1761,DMRT1,doublesex and mab-3 related transcription factor 1,9p24.3,Validated
2263,FGFR2,fibroblast growth factor receptor 2,10q26.13,Validated
23189,KANK1,KN motif and ankyrin repeat domains 1,9p24.3,Validated
108,ADCY2,adenylate cyclase 2,5p15.31,Validated
9839,ZEB2,zinc finger E-box binding homeobox 2,2q22.3,Validated
283120,H19,H19, imprinted maternally expressed transcript (non-protein coding),11p15.5,Validated
1029,CDKN2A,cyclin dependent kinase inhibitor 2A,9p21.3,Validated
4255,MGMT,O-6-methylguanine-DNA methyltransferase,10q26.3,Validated
2261,FGFR3,fibroblast growth factor receptor 3,4p16.3,Validated
983,CDK1,cyclin dependent kinase 1,10q21.2,Validated
891,CCNB1,cyclin B1,5q13.2,Validated
9133,CCNB2,cyclin B2,15q22.2,Validated
993,CDC25A,cell division cycle 25A,3p21.31,Validated
995,CDC25C,cell division cycle 25C,5q31.2,Validated
7465,WEE1,WEE1 G2 checkpoint kinase,11p15.4,Validated
10984,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1 (non-protein coding),11p15.5,Validated
6638,SNRPN,small nuclear ribonucleoprotein polypeptide N,15q11.2,Validated
5325,PLAGL1,PLAG1 like zinc finger 1,6q24.2,Validated
5178,PEG3,paternally expressed 3,19q13.43,Validated
3481,IGF2,insulin like growth factor 2,11p15.5,Validated
4524,MTHFR,methylenetetrahydrofolate reductase,1p36.22,Validated
4548,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,1q43,Validated
4552,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,5p15.31,Validated
54014,BRWD1,bromodomain and WD repeat domain containing 1,21q22.2,Validated
1786,DNMT1,DNA methyltransferase 1,19p13.2,Validated
1789,DNMT3B,DNA methyltransferase 3 beta,20q11.21,Validated
56163,RNF17,ring finger protein 17,13q12.12,Validated
23304,UBR2,ubiquitin protein ligase E3 component n-recognin 2,6p21.1,Validated
7398,USP1,ubiquitin specific peptidase 1,1p31.3,Validated
83844,USP26,ubiquitin specific peptidase 26,Xq26.2,Validated
4522,MTHFD1,methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1,14q23.3,Validated
140690,CTCFL,CCCTC-binding factor like,20q13.31,Validated
5054,SERPINE1,serpin family E member 1,7q22.1,Validated
1618,DAZL,deleted in azoospermia like,3p24.3,Validated
2153,F5,coagulation factor V,1q24.2,Validated
3547,IGSF1,immunoglobulin superfamily member 1,Xq26.1,Validated
1401,CRP,C-reactive protein,1q23.2,Validated
1583,CYP11A1,cytochrome P450 family 11 subfamily A member 1,15q24.1,Validated
92579,G6PC3,glucose-6-phosphatase catalytic subunit 3,17q21.31,Validated
5728,PTEN,phosphatase and tensin homolog,10q23.31,Validated
1584,CYP11B1,cytochrome P450 family 11 subfamily B member 1,8q24.3,Validated
2796,GNRH1,gonadotropin releasing hormone 1,8p21.2,Validated
351,APP,amyloid beta precursor protein,21q21.3,Validated
7049,TGFBR3,transforming growth factor beta receptor 3,1p22.1,Validated
655,BMP7,bone morphogenetic protein 7,20q13.31,Validated
9518,GDF15,growth differentiation factor 15,19p13.11,Validated
875,CBS,cystathionine-beta-synthase,21q22.3,Validated
5228,PGF,placental growth factor,14q24.3,Validated
2797,GNRH2,gonadotropin releasing hormone 2,20p13,Validated
3284,HSD3B2,hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2,1p12,Validated
2876,GPX1,glutathione peroxidase 1,3p21.31,Validated
10549,PRDX4,peroxiredoxin 4,Xp22.11,Validated
3315,HSPB1,heat shock protein family B (small) member 1,7q11.23,Validated
1509,CTSD,cathepsin D,11p15.5,Validated
3552,IL1A,interleukin 1 alpha,2q14.1,Validated
3306,HSPA2,heat shock protein family A (Hsp70) member 2,14q23.3,Validated
3073,HEXA,hexosaminidase subunit alpha,15q23,Validated
173,AFM,afamin,4q13.3,Validated
1499,CTNNB1,catenin beta 1,3p22.1,Validated
3074,HEXB,hexosaminidase subunit beta,5q13.3,Validated
1459,CSNK2A2,casein kinase 2 alpha 2,16q21,Validated
1460,CSNK2B,casein kinase 2 beta,6p21.33,Validated
1666,DECR1,2,4-dienoyl-CoA reductase 1,8q21.3,Validated
7200,TRH,thyrotropin releasing hormone,3q22.1,Validated
11141,IL1RAPL1,interleukin 1 receptor accessory protein like 1,Xp21.3-p21.2,Validated
3688,ITGB1,integrin subunit beta 1,10p11.22,Validated
3455,IFNAR2,interferon alpha and beta receptor subunit 2,21q22.11,Validated
4069,LYZ,lysozyme,12q15,Validated
718,C3,complement C3,19p13.3,Validated
5265,SERPINA1,serpin family A member 1,14q32.13,Validated
567,B2M,beta-2-microglobulin,15q21.1,Validated
8644,AKR1C3,aldo-keto reductase family 1 member C3,10p15.1,Validated
5047,PAEP,progestagen associated endometrial protein,9q34.3,Validated
38,ACAT1,acetyl-CoA acetyltransferase 1,11q22.3,Validated
10724,MGEA5,meningioma expressed antigen 5 (hyaluronidase),10q24.32,Validated
354,KLK3,kallikrein related peptidase 3,19q13.33,Validated
4477,MSMB,microseminoprotein beta,10q11.22,Validated
3283,HSD3B1,hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1,1p12,Validated
3294,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,16q23.3,Validated
3678,ITGA5,integrin subunit alpha 5,12q13.13,Validated
11253,MAN1B1,mannosidase alpha class 1B member 1,9q34.3,Validated
6783,SULT1E1,sulfotransferase family 1E member 1,4q13.3,Validated
7018,TF,transferrin,3q22.1,Validated
213,ALB,albumin,4q13.3,Validated
10721,POLQ,DNA polymerase theta,3q13.33,Validated
6715,SRD5A1,steroid 5 alpha-reductase 1,5p15.31,Validated
1082,CGB3,chorionic gonadotropin beta subunit 3,19q13.33,Validated
5617,PRL,prolactin,6p22.3,Validated
572,BAD,BCL2 associated agonist of cell death,11q13.1,Validated
2475,MTOR,mechanistic target of rapamycin kinase,1p36.22,Validated
142,PARP1,poly(ADP-ribose) polymerase 1,1q42.12,Validated
6774,STAT3,signal transducer and activator of transcription 3,17q21.2,Validated
3952,LEP,leptin,7q32.1,Validated
3122,HLA-DRA,major histocompatibility complex, class II, DR alpha,6p21.32,Validated
9271,PIWIL1,piwi like RNA-mediated gene silencing 1,12q24.33,Validated
55124,PIWIL2,piwi like RNA-mediated gene silencing 2,8p21.3,Validated
2023,ENO1,enolase 1,1p36.23,Validated
9219,MTA2,metastasis associated 1 family member 2,11q12.3,Validated
9024,BRSK2,BR serine/threonine kinase 2,11p15.5,Validated
85474,LBX2,ladybird homeobox 2,2p13.1,Validated
22802,CLCA4,chloride channel accessory 4,1p22.3,Validated
1909,EDNRA,endothelin receptor type A,4q31.22-q31.23,Validated
4363,ABCC1,ATP binding cassette subfamily C member 1,16p13.11,Validated
7097,TLR2,toll like receptor 2,4q31.3,Validated
7099,TLR4,toll like receptor 4,9q33.1,Validated
9510,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,21q21.3,Validated
11096,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,21q21.3,Validated
23626,SPO11,SPO11, initiator of meiotic double stranded breaks,20q13.31,Validated
373156,GSTK1,glutathione S-transferase kappa 1,7q34,Validated
347733,TUBB2B,tubulin beta 2B class IIb,6p25.2,Validated
3848,KRT1,keratin 1,12q13.13,Validated
4957,ODF2,outer dense fiber of sperm tails 2,9q34.11,Validated
7417,VDAC2,voltage dependent anion channel 2,10q22.2,Validated
8852,AKAP4,A-kinase anchoring protein 4,Xp11.22,Validated
388753,COA6,cytochrome c oxidase assembly factor 6,1q42.2,Validated
64649,SPANXB1,SPANX family, member B1,Xq27.1,Validated
2879,GPX4,glutathione peroxidase 4,19p13.3,Validated
80150,ASRGL1,asparaginase like 1,11q12.3,Validated
3313,HSPA9,heat shock protein family A (Hsp70) member 9,5q31.2,Validated
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,12p13.31,Validated
1191,CLU,clusterin,8p21.1,Validated
2950,GSTP1,glutathione S-transferase pi 1,11q13.2,Validated
2952,GSTT1,glutathione S-transferase theta 1,22q11.23,Validated
5445,PON2,paraoxonase 2,7q21.3,Validated
5329,PLAUR,plasminogen activator, urokinase receptor,19q13.31,Validated
2770,GNAI1,G protein subunit alpha i1,7q21.11,Validated
10655,DMRT2,doublesex and mab-3 related transcription factor 2,9p24.3,Validated
7141,TNP1,transition protein 1,2q35,Validated
7142,TNP2,transition protein 2,16p13.13,Validated
2908,NR3C1,nuclear receptor subfamily 3 group C member 1,5q31.3,Validated
7917,BAG6,BCL2 associated athanogene 6,6p21.33,Validated
5634,PRPS2,phosphoribosyl pyrophosphate synthetase 2,Xp22.2,Validated
1106,CHD2,chromodomain helicase DNA binding protein 2,15q26.1,Validated
2775,GNAO1,G protein subunit alpha o1,16q13,Validated
3953,LEPR,leptin receptor,1p31.3,Validated
7431,VIM,vimentin,10p13,Validated
5886,RAD23A,RAD23 homolog A, nucleotide excision repair protein,19p13.13,Validated
5887,RAD23B,RAD23 homolog B, nucleotide excision repair protein,9q31.2,Validated
2936,GSR,glutathione-disulfide reductase,8p12,Validated
4257,MGST1,microsomal glutathione S-transferase 1,12p12.3,Validated
5618,PRLR,prolactin receptor,5p13.2,Validated
7114,TMSB4X,thymosin beta 4, X-linked,Xp22.2,Validated
7539,ZFP37,ZFP37 zinc finger protein,9q32,Validated
11315,PARK7,Parkinsonism associated deglycase,1p36.23,Validated
2260,FGFR1,fibroblast growth factor receptor 1,8p11.23,Validated
10371,SEMA3A,semaphorin 3A,7q21.11,Validated
8482,SEMA7A,semaphorin 7A (John Milton Hagen blood group),15q24.1,Validated
3077,HFE,homeostatic iron regulator,6p22.2,Validated
2798,GNRHR,gonadotropin releasing hormone receptor,4q13.2,Validated
2152,F3,coagulation factor III, tissue factor,1p21.3,Validated
26012,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor,9q34.3,Validated
64641,EBF2,early B cell factor 2,8p21.2,Validated
84634,KISS1R,KISS1 receptor,19p13.3,Validated
427,ASAH1,N-acylsphingosine amidohydrolase 1,8p22,Validated
4025,LPO,lactoperoxidase,17q22,Validated
5498,PPOX,protoporphyrinogen oxidase,1q23.3,Validated
847,CAT,catalase,11p13,Validated
4843,NOS2,nitric oxide synthase 2,17q11.2,Validated
7498,XDH,xanthine dehydrogenase,2p23.1,Validated
5133,PDCD1,programmed cell death 1,2q37.3,Validated
10657,KHDRBS1,KH RNA binding domain containing, signal transduction associated 1,1p35.2,Validated
3815,KIT,KIT proto-oncogene receptor tyrosine kinase,4q12,Validated
9210,BMP15,bone morphogenetic protein 15,Xp11.22,Validated
2661,GDF9,growth differentiation factor 9,5q31.1,Validated
659,BMPR2,bone morphogenetic protein receptor type 2,2q33.1-q33.2,Validated
2526,FUT4,fucosyltransferase 4,11q21,Validated
54514,DDX4,DEAD-box helicase 4,5q11.2,Validated
402381,SOHLH1,spermatogenesis and oogenesis specific basic helix-loop-helix 1,9q34.3,Validated
1119,CHKA,choline kinase alpha,11q13.2,Validated
6352,CCL5,C-C motif chemokine ligand 5,17q12,Validated
401634,GOLGA2P3Y,golgin A2 pseudogene 3, Y-linked,Yq11.23,Validated
9085,CDY1,chromodomain Y-linked 1,Yq11.23,Validated
13070451,gsh,glutamate--cysteine ligase,,Validated
7258,TSPY1,testis specific protein, Y-linked 1,Yp11.2,Validated
57054,DAZ3,deleted in azoospermia 3,Yq11.23,Validated
9083,BPY2,basic charge, Y-linked, 2,Yq11.223,Validated
708,C1QBP,complement C1q binding protein,17p13.2,Validated
5290,PIK3CA,phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha,3q26.32,Validated
78997,GDAP1L1,ganglioside induced differentiation associated protein 1 like 1,20q13.12,Validated
51305,KCNK9,potassium two pore domain channel subfamily K member 9,8q24.3,Validated
389421,LIN28B,lin-28 homolog B,6q16.3-q21,Validated
5925,RB1,RB transcriptional corepressor 1,13q14.2,Validated
388015,RTL1,retrotransposon Gag like 1,14q32.2,Validated
5002,SLC22A18,solute carrier family 22 member 18,11p15.4,Validated
57683,ZDBF2,zinc finger DBF-type containing 2,2q33.3,Validated
968,CD68,CD68 molecule,17p13.1,Validated
4321,MMP12,matrix metallopeptidase 12,11q22.2,Validated
3309,HSPA5,heat shock protein family A (Hsp70) member 5,9q33.3,Validated
4057,LTF,lactotransferrin,3p21.31,Validated
5232,PGK2,phosphoglycerate kinase 2,6p12.3,Validated
56949,XAB2,XPA binding protein 2,19p13.2,Validated
93210,PGAP3,post-GPI attachment to proteins 3,17q12,Validated
1043,CD52,CD52 molecule,1p36.11,Validated
969,CD69,CD69 molecule,12p13.31,Validated
8140,SLC7A5,solute carrier family 7 member 5,16q24.2,Validated
2357,FPR1,formyl peptide receptor 1,19q13.41,Validated
4267,CD99,CD99 molecule (Xg blood group),Xp22.33 and Yp11.2,Validated
4179,CD46,CD46 molecule,1q32.2,Validated
3676,ITGA4,integrin subunit alpha 4,2q31.3,Validated
59067,IL21,interleukin 21,4q27,Validated
973,CD79A,CD79a molecule,19q13.2,Validated
3567,IL5,interleukin 5,5q31.1,Validated
3559,IL2RA,interleukin 2 receptor subunit alpha,10p15.1,Validated
2674,GFRA1,GDNF family receptor alpha 1,10q25.3,Validated
3655,ITGA6,integrin subunit alpha 6,2q31.1,Validated
23369,PUM2,pumilio RNA binding family member 2,2p24.1,Validated
10499,NCOA2,nuclear receptor coactivator 2,8q13.3,Validated
11143,KAT7,lysine acetyltransferase 7,17q21.33,Validated
6714,SRC,SRC proto-oncogene, non-receptor tyrosine kinase,20q11.23,Validated
7525,YES1,YES proto-oncogene 1, Src family tyrosine kinase,18p11.32,Validated
6817,SULT1A1,sulfotransferase family 1A member 1,16p11.2,Validated
3685,ITGAV,integrin subunit alpha V,2q32.1,Validated
54205,CYCS,cytochrome c, somatic,7p15.3,Validated
128240,NAXE,NAD(P)HX epimerase,1q22,Validated
4292,MLH1,mutL homolog 1,3p22.2,Validated
27030,MLH3,mutL homolog 3,14q24.3,Validated
5395,PMS2,PMS1 homolog 2, mismatch repair system component,7p22.1,Validated
4438,MSH4,mutS homolog 4,1p31.1,Validated
4439,MSH5,mutS homolog 5,6p21.33,Validated
545,ATR,ATR serine/threonine kinase,3q23,Validated
50511,SYCP3,synaptonemal complex protein 3,12q23.2,Validated
9985,REC8,REC8 meiotic recombination protein,14q12,Validated
56159,TEX11,testis expressed 11,Xq13.1,Validated
56154,TEX15,testis expressed 15, meiosis and synapsis associated,8p12,Validated
3605,IL17A,interleukin 17A,6p12.2,Validated
3135,HLA-G,major histocompatibility complex, class I, G,6p22.1,Validated
3479,IGF1,insulin like growth factor 1,12q23.2,Validated
1804,DPP6,dipeptidyl peptidase like 6,7q36.2,Validated
781,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7q21.11,Validated
3643,INSR,insulin receptor,19p13.2,Validated
11254,SLC6A14,solute carrier family 6 member 14,Xq23,Validated
3482,IGF2R,insulin like growth factor 2 receptor,6q25.3,Validated
11172,INSL6,insulin like 6,9p24.1,Validated
3480,IGF1R,insulin like growth factor 1 receptor,15q26.3,Validated
2688,GH1,growth hormone 1,17q23.3,Validated
5730,PTGDS,prostaglandin D2 synthase,9q34.3,Validated
283417,DPY19L2,dpy-19 like 2,12q14.2,Validated
222545,GPRC6A,G protein-coupled receptor class C group 6 member A,6q22.1,Validated
